company_id,industry_sector,revenue,cogs,gross_profit,operating_profit,net_profit,ebitda,interest_expense,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,liquid_assets,cash,inventory,accounts_payable,share_price,shares_outstanding,dividends_per_share,annualized_portfolio_return,benchmark_return,risk_free_rate,daily_return_stdev,downside_deviation,market_covariance,market_variance,correlation_to_benchmark,tracking_error,historical_peak_value,historical_trough_value,var_95_amount,total_gross_loan_amount,days_past_due,provision_for_credit_losses,net_profit_margin,roa,roe,cash_ratio,quick_ratio,current_ratio,inventory_turnover,asset_turnover,payable_turnover,debt_to_assets,debt_to_equity,interest_coverage,dscr,eps,pe_ratio,dividend_yield,volatility_annualized,alpha,beta,sharpe_ratio,treynor_ratio,max_drawdown,sortino_ratio,r_squared,npl_status,cost_of_risk,is_default,portfolio_weight
COMP_00001,Energy,7399.91,3455.86,3944.05,2855.54,2068.75,3558.04,794.66,18634.88,13761.8,4873.08,10866.45,5071.33,4745.02,962.8,843.73,2116.01,21.84,131.91,0.0,0.2395,0.0552,0.04,0.003,0.0351,0.03113,0.046008,0.3547,0.0116,25.88,21.43,8.54,2461.79,0,83.76,0.2796,0.111,0.4245,0.1899,0.9357,2.1427,4.0959,0.3971,1.6332,0.7385,2.824,3.5934,3.4184,15.683,1.39,0.0,0.0476,0.1843,0.6766,4.1912,0.2949,0.1719,5.6838,0.1258,0,0.034,0,0.00052521
COMP_00002,Consumer Discretionary,856.69,551.75,304.94,154.33,111.04,186.82,7.45,1024.58,314.34,710.24,299.12,66.08,174.13,88.66,44.0,18.98,23.38,31.97,1.21,0.0586,0.0495,0.04,0.015226,0.1355,0.019466,0.012582,0.7574,0.0073,49.56,22.48,11.45,334.86,7,13.44,0.1296,0.1084,0.1563,1.3417,2.6351,4.5266,12.5398,0.8361,29.0701,0.3068,0.4426,20.7154,4.5637,3.4733,6.73,0.0518,0.2417,0.0091,1.5471,0.077,0.012,0.5464,0.1373,0.5737,0,0.0401,0,7.144e-05
COMP_00003,Telecom,1039.31,660.32,378.99,127.29,102.02,217.19,27.51,1894.48,1105.2,789.28,380.86,231.05,254.74,66.75,112.18,55.79,30.3,17.45,0.1,0.1723,0.102,0.04,0.01865,0.1676,0.076735,0.059929,0.813,0.0381,68.53,62.01,7.71,208.67,0,2.9,0.0982,0.0539,0.1293,0.2889,1.1025,1.6484,5.8863,0.5486,11.8358,0.5834,1.4003,4.627,4.4895,5.8464,5.18,0.0033,0.2961,0.0703,1.2804,0.4468,0.1033,0.0951,0.7894,0.661,0,0.0139,0,4.452e-05
COMP_00004,Materials,255.51,151.3,104.21,35.38,23.97,53.48,4.11,581.43,199.92,381.51,146.87,82.59,66.23,41.29,34.33,22.23,38.76,62.38,0.0,0.229,0.1035,0.04,0.004986,0.094,0.018283,0.020541,0.24,0.0103,45.11,24.21,11.49,184.99,0,1.43,0.0938,0.0412,0.0628,0.4999,0.8019,1.7783,4.4072,0.4395,6.8061,0.3438,0.524,8.6083,2.3654,0.3843,100.86,0.0,0.0792,0.1255,0.8901,2.3864,0.2123,0.4633,2.0106,0.0576,0,0.0077,0,3.947e-05
COMP_00005,Consumer Staples,11237.72,7023.46,4214.26,3360.81,2098.01,4593.82,1064.02,32842.57,19720.22,13122.35,7825.87,10563.72,3735.78,1995.03,1709.83,2278.73,44.72,14.24,0.0,0.0021,0.0267,0.04,0.005963,0.0499,0.039731,0.030583,0.6075,0.0549,73.21,62.54,3.16,12826.84,0,66.07,0.1867,0.0639,0.1599,0.1889,0.3536,0.7408,4.1077,0.3422,3.0822,0.6004,1.5028,3.1586,1.9576,147.3322,0.3,0.0,0.0947,-0.0246,1.2991,-0.4002,-0.0292,0.1457,-0.7595,0.3691,0,0.0052,0,0.00273653
COMP_00006,Energy,204.14,121.65,82.49,52.64,42.59,65.9,26.48,612.08,458.5,153.58,164.48,201.53,153.7,57.66,44.8,96.11,49.38,26.3,1.57,-0.0333,0.0862,0.04,0.01322,0.1316,0.045483,0.041434,0.5744,0.0674,96.95,55.98,2.8,155.18,0,7.53,0.2086,0.0696,0.2773,0.2861,0.7627,0.8162,2.7154,0.3335,1.2657,0.7491,2.9854,1.9879,1.5691,1.6194,30.49,0.0318,0.2099,-0.1195,1.0977,-0.3492,-0.0668,0.4226,-0.557,0.3299,0,0.0485,0,3.311e-05
COMP_00007,Real Estate,4473.81,2830.71,1643.1,551.36,456.76,959.15,120.56,12958.07,5235.27,7722.8,3463.98,1959.35,2790.29,1698.38,214.75,796.99,10.78,119.98,0.87,-0.0275,0.0283,0.04,0.004236,0.0523,0.051865,0.037127,0.5417,0.0459,22.97,14.85,7.42,4391.05,0,66.95,0.1021,0.0352,0.0591,0.8668,1.4241,1.7679,13.1814,0.3453,3.5518,0.404,0.6779,4.5733,1.7138,3.807,2.83,0.0807,0.0672,-0.0558,1.397,-1.0045,-0.0483,0.3535,-1.2906,0.2934,0,0.0152,0,0.0009368
COMP_00008,Financials,707.4,500.66,206.74,95.03,63.24,130.78,50.55,1683.71,1350.61,333.1,656.51,746.68,578.53,176.48,219.44,369.73,19.32,83.33,0.54,0.1098,0.0984,0.04,0.01108,0.1608,0.034063,0.059545,0.2178,0.1167,46.87,38.32,142.09,142.79,0,4.45,0.0894,0.0376,0.1899,0.2364,0.7748,0.8792,2.2815,0.4201,1.3541,0.8022,4.0547,1.8799,2.0173,0.7589,25.46,0.028,0.1759,0.0114,0.5721,0.3968,0.122,0.1824,0.4341,0.0474,0,0.0312,0,3.046e-05
COMP_00009,Energy,534.19,216.25,317.94,246.86,192.97,275.36,43.37,1304.58,610.05,694.53,404.19,170.08,377.57,281.7,43.4,87.23,51.11,225.21,0.29,0.0038,0.081,0.04,0.010068,0.1866,0.045045,0.039639,0.6232,0.059,66.45,33.56,8.97,204.27,0,3.53,0.3612,0.1479,0.2778,1.6563,2.22,2.3765,4.9827,0.4095,2.4791,0.4676,0.8784,5.692,4.3162,0.8568,59.65,0.0057,0.1598,-0.0772,1.1364,-0.2265,-0.0319,0.495,-0.194,0.3884,0,0.0173,0,4.358e-05
COMP_00010,Telecom,289.45,209.8,79.65,35.41,24.58,53.89,6.97,715.02,267.42,447.6,307.39,91.93,186.89,70.17,22.92,52.63,104.73,41.25,1.14,-0.0006,0.1024,0.04,0.021118,0.2588,0.014011,0.021089,0.698,0.0389,247.57,76.03,25.28,208.51,0,5.7,0.0849,0.0344,0.0549,0.7633,2.033,3.3437,9.1536,0.4048,3.9863,0.374,0.5975,5.0803,1.937,0.5959,175.75,0.0109,0.3352,-0.103,0.6644,-0.1211,-0.0611,0.6929,-0.1569,0.4872,0,0.0273,0,4.448e-05
